age,workclass,educational-num,marital-status,occupation,relationship,hours-per-week,is_Male,income >50K,is_White,from_USA,gained-capital
32,Private,13,Never-married,Sales,Shared Housing,45,1,0,0,0,1
31,Government,9,Married,Specialized Services,Husband,72,1,0,1,1,0
34,Self Employed,9,Married,Professional,Husband,60,1,0,1,1,0
49,Private,13,Widowed/Separated,Management,Shared Housing,40,0,0,1,1,0
54,Self Employed,9,Widowed/Separated,Specialized Services,Shared Housing,50,1,0,1,1,1
58,Private,13,Married,Management,Husband,40,1,1,1,1,1
28,Private,9,Married,Simple Services,Husband,40,1,0,1,1,0
36,Private,9,Married,Specialized Services,Husband,50,1,0,1,1,0
26,Private,12,Married,Sales,Wife,50,0,1,1,1,0
33,Private,9,Married,Simple Services,Husband,40,1,0,1,1,0
51,Private,9,Married,Simple Services,Shared Housing,40,0,0,0,0,0
53,Government,11,Widowed/Separated,Management,Shared Housing,48,1,0,0,1,0
33,Private,11,Never-married,Sales,Child,40,1,0,1,1,0
45,Government,13,Married,Professional,Husband,40,1,1,1,1,0
27,Private,3,Never-married,Simple Services,Shared Housing,52,0,0,1,0,0
35,Private,9,Widowed/Separated,Sales,Shared Housing,60,1,0,1,1,0
47,Private,9,Widowed/Separated,Specialized Services,Single,40,0,0,1,1,0
17,Private,6,Never-married,Professional,Child,30,1,0,1,1,0
55,Self Employed,11,Widowed/Separated,Management,Single,30,1,0,1,1,0
28,Self Employed,9,Married,Specialized Services,Husband,35,1,0,1,1,0
46,Self Employed,14,Widowed/Separated,Professional,Shared Housing,45,0,0,1,1,0
18,Private,7,Never-married,Professional,Child,6,1,0,1,1,0
43,Government,9,Widowed/Separated,Administrative,Shared Housing,35,0,0,1,1,0
60,Self Employed,9,Married,Simple Services,Husband,8,1,0,1,1,1
55,Self Employed,6,Married,Professional,Husband,70,1,1,1,1,0
52,Private,9,Widowed/Separated,Simple Services,Shared Housing,36,0,0,1,1,1
40,Private,13,Married,Specialized Services,Husband,31,1,0,1,1,0
52,Private,9,Married,Simple Services,Husband,38,1,0,1,1,0
27,Government,9,Never-married,Specialized Services,Child,40,0,0,1,1,0
44,Private,14,Never-married,Professional,Shared Housing,40,0,0,0,0,0
56,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
35,Private,13,Never-married,Administrative,Shared Housing,40,1,0,1,1,0
35,Private,10,Widowed/Separated,Management,Single,40,0,0,1,1,0
47,Government,9,Married,Simple Services,Husband,40,1,0,0,0,0
42,Government,11,Widowed/Separated,Professional,Single,50,0,0,1,1,0
63,Private,4,Married,Sales,Husband,45,1,0,1,1,0
48,Government,11,Married,Management,Husband,15,1,1,1,0,0
41,Private,13,Widowed/Separated,Sales,Shared Housing,40,0,0,1,1,0
17,Private,7,Never-married,Simple Services,Child,10,0,0,1,1,0
26,Government,10,Never-married,Administrative,Shared Housing,25,1,0,1,1,0
33,Government,13,Widowed/Separated,Professional,Child,40,1,0,1,1,0
41,Private,9,Widowed/Separated,Simple Services,Shared Housing,40,1,0,1,1,0
20,Private,10,Never-married,Administrative,Child,25,1,0,1,1,0
26,Private,10,Married,Simple Services,Husband,40,1,0,1,1,0
35,Government,14,Married,Professional,Husband,40,1,0,1,1,0
47,Self Employed,9,Married,Sales,Husband,50,1,0,1,1,0
64,Private,9,Widowed/Separated,Administrative,Shared Housing,22,0,0,1,1,0
32,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
47,Private,11,Married,Administrative,Husband,40,1,0,0,1,0
22,Private,9,Never-married,Simple Services,Shared Housing,20,1,0,1,1,0
35,Private,13,Never-married,Management,Shared Housing,45,1,0,1,1,0
53,Private,8,Married,Simple Services,Husband,40,1,0,1,1,0
29,Self Employed,9,Married,Professional,Husband,80,1,0,1,1,0
23,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
45,Private,10,Married,Sales,Husband,50,1,1,1,1,0
20,Government,10,Never-married,Administrative,Child,15,1,0,1,1,0
42,Private,11,Married,Professional,Husband,40,1,1,0,0,0
45,Private,11,Married,Specialized Services,Husband,40,1,0,1,1,0
77,Private,3,Married,Simple Services,Husband,20,1,0,1,1,0
32,Private,15,Never-married,Professional,Shared Housing,40,0,0,1,1,0
21,Private,10,Never-married,Simple Services,Shared Housing,10,0,0,0,1,0
32,Private,15,Married,Professional,Husband,25,1,1,1,1,0
41,Private,9,Married,Sales,Husband,30,1,1,1,1,0
42,Private,9,Widowed/Separated,Specialized Services,Shared Housing,40,0,0,0,1,0
26,Government,13,Never-married,Public Safety,Shared Housing,48,0,0,1,1,0
66,Private,9,Married,Sales,Husband,40,1,0,1,1,0
41,Private,9,Never-married,Simple Services,Shared Housing,30,1,0,1,1,0
40,Private,13,Never-married,Administrative,Single,65,0,0,0,1,0
21,Private,10,Never-married,Simple Services,Child,40,1,0,1,1,0
40,Private,9,Widowed/Separated,Simple Services,Single,40,0,0,0,1,0
48,Private,9,Widowed/Separated,Simple Services,Single,44,0,0,1,1,0
62,Self Employed,13,Married,Professional,Husband,40,1,1,1,1,1
45,Private,14,Married,Management,Husband,50,1,1,1,1,0
42,Self Employed,10,Married,Professional,Husband,60,1,0,1,1,0
20,Private,10,Never-married,Sales,Child,20,0,0,1,1,1
30,Private,9,Married,Specialized Services,Husband,40,1,1,1,1,0
59,Private,5,Widowed/Separated,Simple Services,Single,40,1,0,1,1,0
22,Private,12,Never-married,Professional,Shared Housing,40,0,0,0,1,0
23,Government,10,Never-married,Administrative,Shared Housing,60,1,0,1,1,0
55,Private,10,Widowed/Separated,Management,Shared Housing,40,0,0,1,1,1
58,Private,9,Married,Specialized Services,Husband,40,1,1,1,0,0
67,Private,13,Married,Professional,Husband,40,1,1,1,1,0
51,Private,7,Married,Specialized Services,Husband,45,1,0,1,1,0
37,Private,10,Widowed/Separated,Sales,Shared Housing,45,1,0,1,1,0
34,Private,11,Never-married,Sales,Shared Housing,45,1,0,0,1,1
49,Private,11,Widowed/Separated,Simple Services,Single,20,0,0,1,1,0
46,Private,10,Widowed/Separated,Sales,Single,60,1,0,1,1,0
29,Private,10,Never-married,Specialized Services,Shared Housing,40,0,0,1,1,0
19,Self Employed,9,Never-married,Administrative,Child,20,0,0,1,1,0
38,Self Employed,15,Married,Professional,Husband,37,1,1,1,1,0
58,Self Employed,10,Married,Specialized Services,Husband,40,1,0,1,1,0
43,Private,9,Married,Simple Services,Husband,43,1,0,1,1,0
34,Private,9,Married,Simple Services,Husband,55,1,1,1,1,1
59,Self Employed,9,Married,Sales,Wife,42,0,0,1,1,0
33,Private,10,Never-married,Simple Services,Child,40,0,0,0,0,0
17,Private,10,Never-married,Administrative,Child,6,0,0,1,1,0
29,Government,13,Never-married,Specialized Services,Shared Housing,40,0,0,1,1,0
33,Private,12,Never-married,Simple Services,Shared Housing,42,0,0,1,1,0
45,Private,7,Widowed/Separated,Specialized Services,Single,40,0,0,1,0,0
68,Private,10,Widowed/Separated,Administrative,Shared Housing,29,0,0,1,1,1
33,Government,13,Never-married,Professional,Shared Housing,20,0,0,1,1,0
49,Self Employed,15,Married,Professional,Husband,60,1,1,1,1,0
46,Government,10,Married,Administrative,Wife,40,0,1,1,1,1
54,Private,13,Married,Sales,Husband,67,1,0,1,1,0
31,Private,9,Never-married,Simple Services,Child,40,1,0,1,1,0
39,Self Employed,13,Never-married,Professional,Single,80,0,0,1,1,0
36,Private,4,Married,Administrative,Husband,45,1,0,1,0,0
35,Self Employed,13,Married,Specialized Services,Husband,7,1,0,1,1,0
36,Private,13,Married,Specialized Services,Husband,40,1,1,1,1,0
27,Private,10,Never-married,Administrative,Child,40,0,0,1,0,0
46,Private,9,Married,Simple Services,Wife,40,0,1,1,1,0
34,Private,8,Married,Specialized Services,Husband,59,1,1,1,1,0
29,Government,13,Married,Professional,Husband,40,1,0,1,1,0
49,Private,11,Married,Management,Husband,60,1,1,1,1,1
52,Self Employed,6,Married,Management,Husband,40,1,0,1,1,0
30,Private,11,Married,Simple Services,Husband,40,1,0,1,1,0
46,Government,14,Married,Management,Husband,40,1,1,1,1,0
35,Private,9,Married,Specialized Services,Husband,50,1,1,1,1,0
37,Private,9,Widowed/Separated,Simple Services,Single,40,0,0,1,1,0
38,Government,15,Married,Professional,Husband,40,1,1,1,1,1
46,Self Employed,11,Married,Management,Husband,40,1,1,1,1,0
42,Private,5,Never-married,Simple Services,Shared Housing,24,1,0,1,1,0
48,Self Employed,13,Never-married,Management,Shared Housing,55,0,1,1,0,0
59,Private,15,Widowed/Separated,Simple Services,Shared Housing,60,1,1,1,1,1
22,Private,10,Never-married,Simple Services,Child,25,0,0,1,1,0
38,Private,9,Never-married,Simple Services,Shared Housing,40,0,0,0,1,0
39,Private,9,Never-married,Specialized Services,Shared Housing,43,0,0,1,1,0
41,Private,10,Married,Specialized Services,Husband,40,1,0,1,0,0
19,Private,8,Never-married,Administrative,Child,9,1,0,1,1,0
47,Government,9,Married,Public Safety,Husband,40,1,0,1,1,0
47,Private,10,Married,Specialized Services,Husband,40,1,1,1,1,0
55,Private,9,Married,Management,Husband,40,1,0,1,1,0
37,Government,14,Widowed/Separated,Professional,Single,40,0,0,1,1,0
29,Private,12,Never-married,Simple Services,Child,20,1,0,1,1,0
34,Self Employed,13,Married,Management,Husband,35,1,1,1,1,1
41,Private,9,Married,Simple Services,Husband,40,1,0,1,1,0
34,Private,9,Widowed/Separated,Simple Services,Single,60,1,0,1,1,0
29,Private,13,Married,Management,Wife,50,0,1,1,0,1
37,Self Employed,11,Married,Specialized Services,Husband,30,1,0,1,1,0
55,Private,14,Widowed/Separated,Sales,Shared Housing,40,1,1,1,1,1
52,Private,9,Married,Management,Wife,45,0,0,1,1,0
57,Private,5,Married,Simple Services,Husband,50,1,0,1,1,0
67,Private,13,Married,Management,Husband,40,1,1,1,1,0
20,Private,10,Never-married,Simple Services,Child,20,1,0,1,1,0
58,Private,13,Married,Sales,Husband,70,1,1,1,1,0
62,Private,9,Widowed/Separated,Specialized Services,Single,40,0,0,0,1,0
40,Private,9,Married,Simple Services,Husband,45,1,1,1,1,0
26,Private,13,Never-married,Administrative,Child,40,0,0,1,1,0
42,Private,10,Married,Sales,Husband,45,1,1,1,1,0
18,Government,9,Never-married,Simple Services,Child,40,1,0,1,1,0
34,Private,9,Married,Sales,Wife,40,0,0,1,1,0
50,Private,9,Married,Simple Services,Husband,40,1,1,1,1,0
30,Private,9,Married,Specialized Services,Husband,32,1,0,0,1,0
42,Government,9,Widowed/Separated,Administrative,Shared Housing,40,0,0,1,1,0
37,Private,10,Widowed/Separated,Simple Services,Single,56,0,0,1,1,0
47,Private,9,Married,Sales,Husband,40,1,0,1,0,0
46,Private,10,Widowed/Separated,Simple Services,Shared Housing,40,0,0,1,1,0
30,Private,14,Never-married,Professional,Shared Housing,45,1,1,0,0,0
52,Private,9,Married,Specialized Services,Husband,50,1,1,1,1,1
23,Government,9,Never-married,Simple Services,Child,40,1,0,0,1,0
35,Self Employed,10,Married,Specialized Services,Shared Housing,40,1,0,1,1,0
44,Private,13,Never-married,Administrative,Shared Housing,70,0,0,1,1,0
35,Private,14,Married,Specialized Services,Husband,40,1,0,1,1,0
31,Government,10,Never-married,Management,Shared Housing,40,1,0,1,1,0
50,Government,10,Widowed/Separated,Management,Shared Housing,40,0,0,1,1,0
29,Private,9,Married,Sales,Husband,40,1,0,1,1,0
39,Private,9,Widowed/Separated,Simple Services,Single,40,1,0,1,1,0
22,Private,13,Married,Sales,Husband,40,1,0,1,1,0
33,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
42,Private,14,Widowed/Separated,Sales,Shared Housing,50,1,0,1,1,0
31,Private,13,Married,Administrative,Husband,50,1,1,1,1,0
23,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
33,Private,9,Married,Specialized Services,Wife,40,0,0,1,1,0
48,Government,10,Widowed/Separated,Management,Shared Housing,52,0,0,1,1,0
46,Private,3,Married,Simple Services,Wife,40,0,1,0,0,0
57,Private,13,Married,Public Safety,Wife,45,0,1,1,0,0
44,Government,14,Never-married,Administrative,Shared Housing,52,0,0,0,1,0
20,Private,10,Never-married,Simple Services,Child,15,1,0,1,1,0
44,Private,12,Married,Specialized Services,Husband,40,1,1,1,1,0
29,Private,7,Married,Specialized Services,Husband,60,1,0,1,1,0
71,Self Employed,14,Married,Professional,Husband,70,1,0,1,1,0
31,Private,10,Married,Administrative,Wife,40,0,0,1,1,0
37,Private,9,Married,Professional,Husband,40,1,0,1,0,0
90,Private,9,Never-married,Administrative,Shared Housing,40,0,1,1,1,0
49,Private,13,Married,Sales,Husband,50,1,1,1,1,0
53,Private,4,Never-married,Simple Services,Child,40,1,0,1,1,0
17,Private,8,Never-married,Simple Services,Child,32,1,0,1,1,0
43,Private,2,Married,Professional,Husband,70,1,0,1,0,0
35,Self Employed,9,Married,Simple Services,Shared Housing,40,0,0,1,1,0
25,Private,9,Never-married,Sales,Child,40,0,0,1,0,0
35,Private,12,Never-married,Simple Services,Shared Housing,44,0,1,1,1,0
58,Government,10,Married,Management,Husband,40,1,0,1,1,0
51,Private,13,Married,Management,Husband,45,1,1,1,1,0
31,Private,10,Never-married,Administrative,Shared Housing,40,0,0,1,1,0
40,Self Employed,15,Married,Professional,Husband,50,1,1,1,1,0
38,Private,10,Never-married,Administrative,Shared Housing,40,1,0,0,0,0
44,Private,12,Married,Simple Services,Husband,42,1,0,1,1,0
43,Private,2,Never-married,Administrative,Single,30,0,0,1,0,0
31,Private,15,Married,Professional,Husband,70,1,1,1,1,0
21,Private,10,Never-married,Administrative,Child,18,0,0,1,1,0
25,Private,13,Never-married,Administrative,Child,40,0,0,0,1,0
52,Government,10,Married,Public Safety,Husband,40,1,1,1,1,0
53,Private,9,Married,Public Safety,Husband,40,1,1,0,1,0
18,Private,10,Never-married,Simple Services,Child,20,1,0,0,1,0
41,Private,9,Never-married,Simple Services,Child,40,1,0,1,1,0
26,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
29,Private,9,Widowed/Separated,Simple Services,Shared Housing,25,0,0,1,1,0
37,Private,9,Never-married,Professional,Shared Housing,45,1,0,1,1,0
24,Private,10,Never-married,Simple Services,Child,45,0,0,0,1,1
32,Private,10,Widowed/Separated,Administrative,Single,41,0,0,0,1,0
35,Private,9,Married,Administrative,Husband,40,1,0,1,1,0
23,Self Employed,6,Never-married,Sales,Child,40,0,0,1,1,0
38,Private,10,Married,Management,Husband,40,1,1,1,1,0
27,Private,13,Married,Professional,Wife,50,0,0,1,1,0
46,Private,10,Married,Specialized Services,Husband,50,1,1,1,1,0
22,Private,10,Never-married,Simple Services,Child,35,1,0,0,1,0
38,Private,10,Married,Management,Husband,80,1,1,1,1,0
27,Government,11,Never-married,Management,Child,40,0,0,1,1,0
45,Government,13,Never-married,Administrative,Shared Housing,45,1,0,1,1,0
32,Private,13,Married,Management,Husband,45,1,1,1,1,0
38,Government,9,Married,Specialized Services,Husband,40,1,0,1,1,0
21,Private,9,Never-married,Sales,Child,40,1,0,1,1,0
33,Private,9,Married,Simple Services,Husband,50,1,0,1,1,0
27,Private,9,Never-married,Sales,Child,45,0,0,1,0,0
19,Private,10,Never-married,Administrative,Shared Housing,20,0,0,1,1,0
20,Government,9,Never-married,Specialized Services,Shared Housing,10,1,0,1,1,0
37,Self Employed,9,Married,Simple Services,Husband,75,1,0,1,1,0
18,Private,7,Never-married,Simple Services,Shared Housing,40,1,0,1,1,0
72,Self Employed,15,Married,Professional,Husband,35,1,0,1,1,0
31,Private,14,Never-married,Management,Shared Housing,40,0,0,1,1,0
33,Private,9,Married,Simple Services,Husband,40,1,1,1,1,0
47,Private,9,Married,Specialized Services,Husband,40,1,1,1,1,0
46,Private,10,Widowed/Separated,Simple Services,Shared Housing,40,0,0,0,1,0
22,Private,9,Never-married,Sales,Child,36,0,0,1,1,0
53,Private,14,Married,Sales,Husband,40,1,0,1,1,0
59,Government,9,Married,Administrative,Husband,40,1,0,0,1,0
36,Private,11,Never-married,Professional,Shared Housing,40,1,0,1,1,0
34,Private,13,Married,Professional,Husband,40,1,1,1,1,0
61,Private,8,Widowed/Separated,Public Safety,Shared Housing,37,1,0,1,0,0
40,Private,9,Widowed/Separated,Administrative,Single,40,0,0,0,1,0
35,Private,12,Married,Sales,Husband,45,1,1,1,1,0
41,Private,9,Married,Simple Services,Wife,40,0,0,1,1,0
23,Private,13,Never-married,Professional,Shared Housing,30,0,0,1,1,0
41,Private,10,Married,Specialized Services,Husband,60,1,1,1,1,0
26,Private,9,Never-married,Specialized Services,Child,40,1,0,1,1,0
27,Private,10,Never-married,Simple Services,Single,40,1,0,0,1,0
41,Self Employed,13,Married,Management,Husband,55,1,1,1,1,0
43,Private,13,Widowed/Separated,Professional,Single,60,0,0,0,1,0
38,Self Employed,15,Never-married,Sales,Shared Housing,45,0,0,1,1,0
47,Government,13,Married,Professional,Husband,72,1,0,1,1,0
23,Private,13,Never-married,Sales,Shared Housing,30,0,0,1,1,0
35,Government,13,Never-married,Professional,Shared Housing,20,0,0,1,1,0
42,Self Employed,12,Married,Management,Husband,70,1,0,1,1,0
24,Private,9,Never-married,Management,Child,50,0,0,1,1,0
58,Private,13,Married,Management,Husband,50,1,1,1,1,0
22,Private,9,Married,Simple Services,Husband,40,1,0,0,0,0
38,Self Employed,9,Married,Simple Services,Husband,50,1,0,1,1,0
41,Private,8,Married,Specialized Services,Husband,40,1,1,1,1,0
46,Private,9,Widowed/Separated,Simple Services,Shared Housing,40,1,0,1,1,0
22,Private,13,Never-married,Simple Services,Shared Housing,20,0,0,1,1,0
17,Private,9,Never-married,Sales,Child,16,0,0,0,1,0
31,Self Employed,9,Widowed/Separated,Simple Services,Single,30,1,0,1,1,0
27,Private,13,Never-married,Professional,Child,50,1,0,1,1,0
57,Private,10,Widowed/Separated,Management,Shared Housing,60,1,0,1,1,0
54,Government,13,Married,Professional,Husband,70,1,0,1,1,0
40,Private,9,Never-married,Simple Services,Shared Housing,40,0,0,0,0,0
23,Self Employed,11,Never-married,Professional,Child,40,1,0,1,1,0
36,Private,13,Married,Professional,Husband,50,1,1,1,1,0
54,Government,12,Widowed/Separated,Administrative,Shared Housing,39,1,0,1,1,0
32,Self Employed,13,Married,Management,Husband,60,1,1,1,1,1
44,Self Employed,10,Married,Sales,Husband,25,1,0,1,1,0
39,Self Employed,9,Married,Professional,Husband,54,1,0,1,1,0
36,Private,10,Widowed/Separated,Sales,Single,38,0,0,0,1,0
43,Private,13,Married,Professional,Husband,40,1,0,1,1,0
36,Private,9,Married,Specialized Services,Husband,30,1,0,1,1,1
40,Government,9,Married,Administrative,Wife,40,0,0,0,1,0
23,Private,10,Never-married,Simple Services,Shared Housing,55,0,0,1,1,0
67,Private,9,Widowed/Separated,Simple Services,Shared Housing,15,0,0,1,1,0
48,Government,14,Married,Professional,Husband,50,1,1,1,1,0
59,Private,9,Married,Simple Services,Husband,35,1,1,1,1,0
36,Private,9,Never-married,Administrative,Child,40,0,0,0,1,0
19,Private,9,Never-married,Simple Services,Shared Housing,40,1,0,1,1,0
24,Government,9,Never-married,Professional,Single,40,0,0,0,1,0
41,Private,9,Widowed/Separated,Simple Services,Single,40,0,0,1,1,0
43,Government,6,Married,Simple Services,Husband,40,1,0,1,1,0
27,Private,9,Married,Simple Services,Husband,40,1,0,1,1,0
48,Private,9,Married,Simple Services,Husband,99,1,0,0,1,0
23,Self Employed,11,Never-married,Specialized Services,Shared Housing,45,1,0,1,1,0
56,Private,9,Widowed/Separated,Simple Services,Shared Housing,50,1,1,1,1,0
22,Government,9,Never-married,Simple Services,Child,40,0,0,1,1,0
61,Private,9,Widowed/Separated,Sales,Shared Housing,38,0,0,1,1,0
22,Private,9,Never-married,Sales,Child,35,0,0,1,1,0
48,Private,14,Married,Specialized Services,Husband,54,1,1,1,1,0
30,Private,15,Married,Professional,Husband,40,1,0,0,0,0
72,Private,10,Married,Public Safety,Husband,40,1,0,1,1,0
31,Government,10,Married,Public Safety,Husband,50,1,0,1,1,0
71,Self Employed,9,Married,Professional,Husband,35,1,0,1,1,0
49,Private,13,Married,Simple Services,Husband,40,1,1,1,1,0
49,Private,9,Married,Sales,Husband,45,1,1,1,1,0
41,Private,10,Widowed/Separated,Simple Services,Shared Housing,45,1,0,1,1,0
29,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
19,Private,10,Never-married,Administrative,Child,26,0,0,1,1,0
30,Private,11,Married,Specialized Services,Husband,40,1,0,1,1,0
40,Private,10,Widowed/Separated,Simple Services,Shared Housing,40,1,0,0,1,0
51,Government,14,Married,Management,Husband,50,1,1,1,1,0
22,Private,9,Never-married,Simple Services,Single,45,1,0,1,1,0
49,Private,6,Married,Specialized Services,Husband,40,1,0,1,1,0
17,Private,6,Never-married,Simple Services,Child,10,0,0,1,1,0
46,Private,12,Married,Specialized Services,Husband,45,1,0,1,1,0
55,Self Employed,9,Married,Sales,Husband,44,1,0,1,1,0
28,Private,11,Never-married,Sales,Shared Housing,40,1,0,1,1,0
39,Self Employed,15,Married,Professional,Husband,40,1,1,1,1,0
36,Government,9,Married,Management,Husband,40,1,0,1,1,0
36,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
23,Self Employed,9,Never-married,Administrative,Shared Housing,40,0,0,1,1,0
38,Government,9,Never-married,Public Safety,Single,40,1,0,0,1,0
75,Private,6,Widowed/Separated,Specialized Services,Shared Housing,32,0,0,1,1,0
39,Private,9,Never-married,Administrative,Shared Housing,40,0,0,1,1,0
19,Private,10,Never-married,Simple Services,Child,10,0,0,1,1,0
39,Private,13,Married,Professional,Husband,60,1,0,1,1,0
31,Government,13,Married,Administrative,Wife,40,0,1,0,1,1
60,Private,9,Widowed/Separated,Sales,Single,38,0,0,1,1,0
30,Private,7,Married,Specialized Services,Husband,40,1,0,1,1,1
23,Private,7,Married,Simple Services,Husband,40,1,0,1,1,0
42,Private,10,Widowed/Separated,Administrative,Shared Housing,40,0,0,1,0,0
55,Government,10,Widowed/Separated,Simple Services,Shared Housing,40,1,0,1,1,0
77,Self Employed,5,Widowed/Separated,Simple Services,Shared Housing,40,0,0,1,0,0
64,Self Employed,9,Married,Management,Husband,40,1,0,1,0,0
35,Private,10,Married,Sales,Husband,50,1,0,1,1,0
19,Private,9,Never-married,Simple Services,Child,25,1,0,0,1,0
45,Private,10,Widowed/Separated,Specialized Services,Single,40,0,0,1,1,0
38,Private,14,Married,Specialized Services,Husband,20,1,0,1,1,0
59,Private,11,Widowed/Separated,Administrative,Shared Housing,40,0,0,1,1,0
21,Private,9,Never-married,Simple Services,Child,40,1,0,1,1,0
45,Private,9,Married,Specialized Services,Husband,30,1,0,1,1,0
23,Private,6,Married,Simple Services,Husband,30,1,0,1,0,0
37,Private,9,Married,Management,Husband,60,1,0,1,1,0
29,Private,12,Never-married,Sales,Child,32,0,0,1,1,0
29,Private,7,Never-married,Specialized Services,Shared Housing,40,1,0,1,1,0
27,Private,9,Never-married,Administrative,Child,35,0,0,1,0,0
44,Private,9,Married,Professional,Husband,40,1,0,1,1,0
50,Self Employed,14,Widowed/Separated,Management,Single,45,1,0,0,0,0
53,Government,14,Married,Management,Husband,40,1,0,1,1,0
41,Private,13,Widowed/Separated,Professional,Shared Housing,45,1,1,1,1,0
23,Private,9,Never-married,Simple Services,Shared Housing,45,0,0,1,1,0
24,Government,14,Never-married,Professional,Shared Housing,40,0,0,1,1,0
31,Private,13,Married,Professional,Husband,40,1,1,1,1,0
37,Private,15,Never-married,Professional,Shared Housing,55,0,1,0,1,0
57,Private,6,Widowed/Separated,Simple Services,Shared Housing,40,1,0,1,1,0
25,Private,13,Never-married,Administrative,Single,60,0,0,1,1,0
50,Private,10,Widowed/Separated,Management,Single,40,0,0,1,1,0
47,Private,7,Married,Simple Services,Husband,50,1,0,1,1,0
23,Private,13,Never-married,Professional,Shared Housing,40,0,0,1,1,0
30,Government,14,Never-married,Professional,Shared Housing,40,0,0,1,1,0
18,Private,10,Never-married,Simple Services,Child,30,1,0,1,1,0
48,Private,7,Widowed/Separated,Administrative,Shared Housing,40,1,0,1,1,0
34,Private,14,Never-married,Simple Services,Single,28,0,0,0,1,0
44,Private,10,Married,Sales,Husband,50,1,1,0,1,0
40,Private,10,Never-married,Specialized Services,Shared Housing,40,1,0,1,1,0
35,Private,9,Never-married,Specialized Services,Child,48,0,0,1,1,0
37,Private,10,Never-married,Simple Services,Child,40,1,0,1,1,0
34,Private,9,Married,Professional,Husband,39,1,0,1,1,0
33,Self Employed,9,Married,Sales,Husband,70,1,1,1,1,0
36,Private,9,Widowed/Separated,Simple Services,Shared Housing,45,1,0,1,1,0
53,Private,5,Never-married,Simple Services,Shared Housing,9,0,0,1,1,0
48,Private,10,Married,Specialized Services,Husband,50,1,0,1,1,0
36,Private,10,Married,Sales,Husband,48,1,0,1,1,0
21,Private,9,Married,Simple Services,Wife,37,0,0,0,1,0
38,Private,13,Married,Professional,Husband,40,1,1,0,1,0
55,Private,6,Married,Specialized Services,Shared Housing,50,1,0,1,1,0
29,Private,10,Never-married,Specialized Services,Child,40,0,0,1,0,0
59,Private,10,Married,Simple Services,Husband,40,1,0,0,0,0
42,Self Employed,10,Married,Specialized Services,Husband,45,1,0,1,1,0
22,Private,10,Never-married,Sales,Single,40,1,0,1,1,0
31,Private,13,Married,Management,Husband,55,1,1,1,1,0
41,Private,9,Married,Simple Services,Husband,40,1,1,1,1,1
45,Private,9,Widowed/Separated,Simple Services,Shared Housing,40,0,0,1,1,0
31,Government,9,Widowed/Separated,Administrative,Shared Housing,40,1,0,1,1,0
53,Private,9,Widowed/Separated,Simple Services,Single,20,0,0,0,1,0
47,Government,11,Married,Administrative,Husband,45,1,1,1,1,0
27,Private,6,Married,Simple Services,Husband,20,1,0,1,1,0
49,Private,9,Widowed/Separated,Sales,Single,40,0,0,1,1,0
34,Private,9,Married,Simple Services,Husband,65,1,0,1,1,0
34,Self Employed,11,Never-married,Simple Services,Shared Housing,40,1,0,1,1,0
50,Government,12,Married,Public Safety,Husband,40,1,1,1,1,0
37,Private,10,Married,Simple Services,Husband,45,1,1,1,1,0
27,Private,14,Never-married,Professional,Shared Housing,45,0,0,1,1,0
31,Self Employed,14,Never-married,Sales,Child,40,0,1,1,1,1
24,Private,9,Married,Specialized Services,Husband,50,1,0,1,1,0
28,Private,15,Never-married,Professional,Shared Housing,80,1,0,1,1,0
27,Private,10,Never-married,Administrative,Single,40,0,0,0,0,0
41,Private,13,Married,Administrative,Wife,40,0,1,1,1,0
28,Private,9,Never-married,Simple Services,Single,40,0,0,0,0,0
26,Private,9,Never-married,Specialized Services,Child,40,1,0,1,1,0
17,Private,7,Never-married,Sales,Child,14,0,0,1,1,0
70,Self Employed,9,Married,Professional,Husband,50,1,0,1,1,0
64,Private,2,Married,Simple Services,Husband,40,1,0,1,1,0
38,Self Employed,9,Never-married,Professional,Shared Housing,50,1,0,1,1,0
23,Private,13,Never-married,Administrative,Child,40,0,0,1,1,0
47,Self Employed,9,Married,Specialized Services,Husband,50,1,1,0,1,1
54,Private,10,Married,Management,Husband,44,1,0,1,1,0
42,Government,12,Widowed/Separated,Public Safety,Shared Housing,48,1,1,0,1,0
23,Private,10,Never-married,Sales,Child,40,0,0,1,1,0
28,Private,9,Never-married,Simple Services,Child,40,1,0,1,1,0
40,Private,3,Married,Simple Services,Husband,30,1,0,1,0,0
32,Private,9,Married,Specialized Services,Husband,55,1,0,1,1,0
35,Self Employed,9,Married,Simple Services,Husband,65,1,1,1,1,0
17,Private,7,Never-married,Sales,Child,15,0,0,1,1,0
23,Private,10,Never-married,Sales,Shared Housing,40,1,0,1,1,0
29,Private,9,Married,Management,Shared Housing,75,1,0,0,0,0
33,Government,10,Married,Administrative,Wife,40,0,0,1,1,0
46,Private,14,Married,Sales,Husband,40,1,1,1,1,0
